codigo_pa;numero_pa;uf;municipio;longitude;latitude;altitude_(m);profundidade_superior;profundidade_inferior;simbolo_horizonte;codigo_horizonte;classe_solos_nivel_1
5797.0;Perfil no 6;AM;Alvarães;;;65.0;5.0;0.0;O;15907.0;ARGISSOLO
5797.0;Perfil no 6;AM;Alvarães;;;65.0;0.0;12.0;A;15909.0;ARGISSOLO
5797.0;Perfil no 6;AM;Alvarães;;;65.0;12.0;43.0;AB;15912.0;ARGISSOLO
5797.0;Perfil no 6;AM;Alvarães;;;65.0;43.0;74.0;BA;15914.0;ARGISSOLO
5797.0;Perfil no 6;AM;Alvarães;;;65.0;74.0;113.0;Bt1;15919.0;ARGISSOLO
5797.0;Perfil no 6;AM;Alvarães;;;65.0;113.0;200.0;Bt2;15922.0;ARGISSOLO
5802.0;Perfil no 8;AM;Juruá;;;70.0;0.0;12.0;A;15926.0;ARGISSOLO
5802.0;Perfil no 8;AM;Juruá;;;70.0;12.0;58.0;AB;15930.0;ARGISSOLO
5802.0;Perfil no 8;AM;Juruá;;;70.0;58.0;76.0;BA;15934.0;ARGISSOLO
5802.0;Perfil no 8;AM;Juruá;;;70.0;76.0;115.0;Bt1;15935.0;ARGISSOLO
5802.0;Perfil no 8;AM;Juruá;;;70.0;115.0;180.0;Bt2;15937.0;ARGISSOLO
5808.0;Perfil no 9;AM;Alvarães;;;60.0;0.0;8.0;A;15951.0;ARGISSOLO
5808.0;Perfil no 9;AM;Alvarães;;;60.0;8.0;37.0;AB;15953.0;ARGISSOLO
5808.0;Perfil no 9;AM;Alvarães;;;60.0;37.0;74.0;BA;15955.0;ARGISSOLO
5808.0;Perfil no 9;AM;Alvarães;;;60.0;74.0;148.0;Bt;15956.0;ARGISSOLO
5808.0;Perfil no 9;AM;Alvarães;;;60.0;148.0;200.0;Btf;15957.0;ARGISSOLO
5817.0;Perfil no 10;AM;Alvarães;;;60.0;0.0;7.0;A;15978.0;ARGISSOLO
5817.0;Perfil no 10;AM;Alvarães;;;60.0;7.0;24.0;AB;15979.0;ARGISSOLO
5817.0;Perfil no 10;AM;Alvarães;;;60.0;24.0;57.0;BA;15980.0;ARGISSOLO
5817.0;Perfil no 10;AM;Alvarães;;;60.0;57.0;110.0;Btf1;15981.0;ARGISSOLO
5817.0;Perfil no 10;AM;Alvarães;;;60.0;110.0;170.0;Btf2;15983.0;ARGISSOLO
5818.0;Perfil no 11;AM;Juruá;;;65.0;0.0;8.0;A;16070.0;ARGISSOLO
5818.0;Perfil no 11;AM;Juruá;;;65.0;8.0;31.0;AB;16072.0;ARGISSOLO
5818.0;Perfil no 11;AM;Juruá;;;65.0;31.0;54.0;BA;16075.0;ARGISSOLO
5818.0;Perfil no 11;AM;Juruá;;;65.0;54.0;90.0;Bt1;16077.0;ARGISSOLO
5818.0;Perfil no 11;AM;Juruá;;;65.0;90.0;130.0;Bt2;16078.0;ARGISSOLO
5818.0;Perfil no 11;AM;Juruá;;;65.0;130.0;190.0;Btf;16079.0;ARGISSOLO
5832.0;Perfil no 12;AM;Alvarães;;;50.0;0.0;7.0;A;16080.0;CAMBISSOLO
5832.0;Perfil no 12;AM;Alvarães;;;50.0;7.0;31.0;AB;16081.0;CAMBISSOLO
5832.0;Perfil no 12;AM;Alvarães;;;50.0;31.0;70.0;BA;16082.0;CAMBISSOLO
5832.0;Perfil no 12;AM;Alvarães;;;50.0;70.0;125.0;Bi;16083.0;CAMBISSOLO
5832.0;Perfil no 12;AM;Alvarães;;;50.0;125.0;160.0;2Bf1;16084.0;CAMBISSOLO
